cam1,/files/0040SET/009/IMG_1820_1.tif,/files/0040SET/009/IMG_1820_2.tif,/files/0040SET/009/IMG_1820_3.tif,/files/0040SET/009/IMG_1820_4.tif,/files/0040SET/009/IMG_1820_5.tif
cam2,/files/0046SET/000/IMG_0032_1.tif,/files/0046SET/000/IMG_0032_2.tif,/files/0046SET/000/IMG_0032_3.tif,/files/0046SET/000/IMG_0032_4.tif,/files/0046SET/000/IMG_0032_5.tif
cam1,/files/0040SET/009/IMG_1824_1.tif,/files/0040SET/009/IMG_1824_2.tif,/files/0040SET/009/IMG_1824_3.tif,/files/0040SET/009/IMG_1824_4.tif,/files/0040SET/009/IMG_1824_5.tif
cam2,/files/0046SET/000/IMG_0033_1.tif,/files/0046SET/000/IMG_0033_2.tif,/files/0046SET/000/IMG_0033_3.tif,/files/0046SET/000/IMG_0033_4.tif,/files/0046SET/000/IMG_0033_5.tif
cam1,/files/0040SET/009/IMG_1827_1.tif,/files/0040SET/009/IMG_1827_2.tif,/files/0040SET/009/IMG_1827_3.tif,/files/0040SET/009/IMG_1827_4.tif,/files/0040SET/009/IMG_1827_5.tif
cam2,/files/0046SET/000/IMG_0034_1.tif,/files/0046SET/000/IMG_0034_2.tif,/files/0046SET/000/IMG_0034_3.tif,/files/0046SET/000/IMG_0034_4.tif,/files/0046SET/000/IMG_0034_5.tif
cam1,/files/0040SET/009/IMG_1831_1.tif,/files/0040SET/009/IMG_1831_2.tif,/files/0040SET/009/IMG_1831_3.tif,/files/0040SET/009/IMG_1831_4.tif,/files/0040SET/009/IMG_1831_5.tif
cam2,/files/0046SET/000/IMG_0035_1.tif,/files/0046SET/000/IMG_0035_2.tif,/files/0046SET/000/IMG_0035_3.tif,/files/0046SET/000/IMG_0035_4.tif,/files/0046SET/000/IMG_0035_5.tif
cam1,/files/0040SET/009/IMG_1834_1.tif,/files/0040SET/009/IMG_1834_2.tif,/files/0040SET/009/IMG_1834_3.tif,/files/0040SET/009/IMG_1834_4.tif,/files/0040SET/009/IMG_1834_5.tif
cam2,/files/0046SET/000/IMG_0036_1.tif,/files/0046SET/000/IMG_0036_2.tif,/files/0046SET/000/IMG_0036_3.tif,/files/0046SET/000/IMG_0036_4.tif,/files/0046SET/000/IMG_0036_5.tif
cam1,/files/0040SET/009/IMG_1838_1.tif,/files/0040SET/009/IMG_1838_2.tif,/files/0040SET/009/IMG_1838_3.tif,/files/0040SET/009/IMG_1838_4.tif,/files/0040SET/009/IMG_1838_5.tif
